id,baseMean,log2FC,lfcSE,stat,pvalue,padj
ENSMUSG00000000903,1.334502176,-0.934187855,1.741340521,-0.536476263,0.591629437,NA
ENSMUSG00000000915,439.3545129,-0.318105279,0.235568541,-1.350372501,0.176896527,0.40641811
ENSMUSG00000000916,577.0003655,0.243001018,0.157175333,1.546050598,0.122092348,0.33152833
ENSMUSG00000000934,246.4360154,-0.202165961,0.136296151,-1.483284451,0.137998852,0.353700365
ENSMUSG00000000938,176.3889684,0.420458769,0.162940397,2.580445228,0.009867301,0.082198027
ENSMUSG00000000942,6.520401406,-0.633047035,0.572683631,-1.10540445,0.268984376,NA
ENSMUSG00000000948,7.762321777,-0.566092003,0.578503448,-0.978545599,0.32780455,0.568604579
ENSMUSG00000000957,4810.729868,-0.27749671,0.167775642,-1.653974953,0.098132602,0.295107153
ENSMUSG00000000958,89.81879514,-0.189901312,1.175790051,-0.161509542,0.871692097,0.93802875
ENSMUSG00000000959,772.2334069,-0.033278585,0.142118632,-0.234160604,0.814860299,0.908535613
ENSMUSG00000000976,849.0568962,0.300319935,0.155689947,1.928961635,0.053735625,0.20887792
ENSMUSG00000000982,138.7384875,-2.124928717,0.475904586,-4.46503097,8.01E-06,0.000942421
ENSMUSG00000000983,14.17278064,-1.011320921,0.948776607,-1.065921013,0.286459349,0.528984447
ENSMUSG00000001014,0.674064027,0.144578705,2.545819406,0.056790637,0.954711973,NA
ENSMUSG00000001016,650.9619576,-0.267922822,0.168829308,-1.586944978,0.112525107,0.31794333
ENSMUSG00000001017,3399.666058,0.073316128,0.060248527,1.216894945,0.223644189,0.461685947
ENSMUSG00000001018,1212.423351,-0.073714651,0.086356236,-0.853611212,0.393320444,0.627130903
ENSMUSG00000001020,32376.53065,0.146402103,0.198514077,0.737489779,0.460824557,0.681621952
ENSMUSG00000001021,126.7593705,1.891517628,0.867587551,2.180203745,0.029242362,0.150387932
ENSMUSG00000001023,3.609413345,0.538296177,0.801239817,0.67182904,0.501692539,NA
ENSMUSG00000001025,10764.19408,-0.058105579,0.156350207,-0.371637363,0.710162866,0.848022113
ENSMUSG00000001027,47.26055948,-0.877115117,0.695834303,-1.260522963,0.20748077,0.444453047
ENSMUSG00000001029,72.55044623,-0.779911964,0.251125444,-3.10566684,0.001898505,0.032909499
ENSMUSG00000001034,772.2300333,-0.092993345,0.148555922,-0.625982078,0.531326697,0.730532322
ENSMUSG00000001036,1741.448303,0.219741097,0.147190048,1.4929073,0.135461454,0.350182168
ENSMUSG00000001039,152.4311958,-0.128024166,0.15277205,-0.838007778,0.402026335,0.633643738
ENSMUSG00000001052,2502.062133,-0.06197365,0.111692989,-0.55485712,0.578992394,0.764622066
ENSMUSG00000001053,164.7663256,0.308624527,0.163435563,1.888356011,0.058978173,0.220254548
ENSMUSG00000001054,384.5401526,-0.112510482,0.193815751,-0.580502262,0.561575961,0.75230526
ENSMUSG00000001056,1323.325889,-0.188896344,0.150632657,-1.254019862,0.209834786,0.446885844
ENSMUSG00000001062,595.7674723,0.04408751,0.167525987,0.263168183,0.792420953,0.896831849
ENSMUSG00000001065,711.913508,0.136350382,0.097586106,1.397231507,0.162343965,0.38710343
ENSMUSG00000001076,4.256748394,-0.716188764,0.712724029,-1.004861258,0.314963662,NA
ENSMUSG00000001082,1917.926436,-0.130137774,0.154664279,-0.841421013,0.400112118,0.632284333
ENSMUSG00000001089,1438.255176,-0.081344397,0.122768847,-0.662581745,0.507598465,0.714633906
ENSMUSG00000001095,0.772600454,-0.001178351,1.510835934,-0.000779933,0.999377704,NA
ENSMUSG00000001098,3316.906011,0.001766333,0.127511179,0.013852379,0.988947754,0.995623208
ENSMUSG00000001100,1469.400463,0.172066709,0.098418548,1.748315859,0.080409349,0.263568607
ENSMUSG00000001103,0.651801869,-0.265712871,1.773405955,-0.149831949,0.880897202,NA
ENSMUSG00000001105,511.091305,-0.228337348,0.102086986,-2.236693986,0.025306347,0.138767966
ENSMUSG00000001119,11571.26418,0.201474748,0.18679142,1.078608154,0.280762445,0.522033912
ENSMUSG00000001120,382.0374275,-0.103883983,0.223306381,-0.465208307,0.641782291,0.804658279
ENSMUSG00000001123,1491.957825,-0.129349946,0.129789414,-0.996613987,0.318951914,0.561604418
ENSMUSG00000001127,2080.47669,0.035442427,0.078315324,0.452560555,0.650865208,0.810219704
ENSMUSG00000001128,2886.624463,-0.642558127,0.165746119,-3.876761221,0.000105856,0.005279116
ENSMUSG00000001131,5257.985205,-0.73265175,0.227926105,-3.214426661,0.001307053,0.026425855
ENSMUSG00000001134,221.4989375,-0.115456279,0.124056723,-0.930673297,0.352022587,0.589838376
ENSMUSG00000001138,558.6956463,0.547193521,0.2229865,2.453931159,0.014130403,0.100988942
ENSMUSG00000001143,513.074679,0.10780465,0.114840153,0.938736553,0.347866021,0.586184079
ENSMUSG00000001150,1071.607497,0.367916408,0.192914103,1.907151438,0.05650098,0.215338474
ENSMUSG00000001151,176.8783907,0.742356836,1.817989628,0.408339423,0.6830245,0.830738138
ENSMUSG00000001155,1.300261147,-2.004276187,2.102209913,-0.953413917,0.340380393,NA
ENSMUSG00000001156,850.1528816,-1.064585477,0.253154204,-4.205284607,2.61E-05,0.002010857
ENSMUSG00000001157,619.5077079,0.176521048,0.096388568,1.831348384,0.06704856,0.236442268
ENSMUSG00000001158,780.3124316,-0.36262067,0.137964929,-2.628353977,0.008579918,0.075734187
ENSMUSG00000001166,75.35238482,-0.475347008,0.304441667,-1.561373029,0.118435762,0.326250385
ENSMUSG00000001168,5.845923157,-1.18776708,0.924206207,-1.285175398,0.198730999,NA
ENSMUSG00000001173,1539.193103,0.059066963,0.132369244,0.446228757,0.655432013,0.813003114
ENSMUSG00000001175,13778.34807,0.317023644,0.203574911,1.557282491,0.11940343,0.327830641
ENSMUSG00000001211,1569.957735,0.083101728,0.128903308,0.644682665,0.519132853,0.723081169
ENSMUSG00000001225,9.174892198,0.823904945,0.62496807,1.318315262,0.187398134,0.419806872
ENSMUSG00000001227,758.9812886,0.27212654,0.162796664,1.671573196,0.094608514,0.289581755
ENSMUSG00000001228,3130.49875,0.704674799,0.213017399,3.308062178,0.000939439,0.021428364
ENSMUSG00000001229,1618.944595,0.516658087,0.217084897,2.379981728,0.017313497,0.113009524
ENSMUSG00000001240,157.4332561,-1.306625875,0.3396072,-3.84746223,0.000119348,0.005673963
ENSMUSG00000001247,69.60459339,-1.155596064,0.829174128,-1.393671154,0.163416931,0.38850952
ENSMUSG00000001248,394.9701316,0.210491355,0.380594803,0.553058932,0.580223057,0.765357311
ENSMUSG00000001249,46.69432174,-0.448103568,0.348191346,-1.286946313,0.198113001,0.433436176
ENSMUSG00000001260,0,NA,NA,NA,NA,NA
ENSMUSG00000001270,212.3840897,-0.542642714,0.349259891,-1.55369319,0.120257618,0.328956383
ENSMUSG00000001280,4063.083975,0.263776047,0.165309223,1.595652333,0.110566437,0.315271551
ENSMUSG00000001281,2629.320871,0.612756103,0.195863463,3.128486014,0.001757094,0.031458544
ENSMUSG00000001285,880.8830638,0.177127015,0.105308542,1.681981455,0.092572436,0.285678482
