id,baseMean,log2FC,lfcSE,stat,pvalue,padj
ENSMUSG00000001240,135.6129981,-1.612296461,0.375739704,-4.290993055,1.78E-05,0.001327113
ENSMUSG00000001247,81.6769731,-0.969697162,0.562761424,-1.723105245,0.084869494,0.265532105
ENSMUSG00000001248,451.067632,0.142712202,0.36627465,0.389631666,0.696808933,0.840868559
ENSMUSG00000001249,51.90999216,-0.649546075,0.399654112,-1.625270591,0.104104915,0.29713117
ENSMUSG00000001260,0,NA,NA,NA,NA,NA
ENSMUSG00000001270,215.7695188,-0.55900659,0.345624619,-1.617380703,0.105796129,0.29905807
ENSMUSG00000001280,4077.611721,0.304847931,0.186235795,1.636892259,0.101652984,0.293264188
ENSMUSG00000001281,2634.767447,0.6036274,0.205438178,2.93824354,0.003300776,0.041317274
ENSMUSG00000001285,927.4537432,0.126173666,0.115733227,1.090211249,0.275620099,0.510805524
ENSMUSG00000001288,2897.327383,0.837589151,0.225897665,3.707825624,0.000209047,0.007613686
ENSMUSG00000001289,2674.241883,-0.680836003,0.212192545,-3.208576455,0.001333938,0.024516811
ENSMUSG00000001300,331.1216527,0.584962307,0.294700016,1.984941554,0.047150974,0.191488099
ENSMUSG00000001305,648.5310113,0.223729707,0.132117714,1.693411882,0.090377095,0.274999636
ENSMUSG00000001313,128.9565431,-0.209311153,0.233637403,-0.895880329,0.370316681,0.60309517
ENSMUSG00000001323,440.8516935,-0.109060009,0.227109156,-0.480209651,0.631078325,0.79917498
ENSMUSG00000001333,14.74444221,-1.002066188,0.526203251,-1.904332945,0.056866836,0.21083397
ENSMUSG00000001334,10.6121926,-0.851035239,0.576385429,-1.476503736,0.139808713,0.351813367
ENSMUSG00000001348,474.4153575,-1.056559184,0.37867816,-2.790124429,0.005268779,0.054734571
ENSMUSG00000001349,2.743080555,-1.016253087,1.34092442,-0.757874994,0.448525821,NA
ENSMUSG00000001366,302.6773556,-0.142769355,0.168989534,-0.8448414,0.398199396,0.628267196
ENSMUSG00000001376,949.4881735,-0.191965559,0.163841836,-1.171651662,0.241336937,0.474519111
ENSMUSG00000001379,171.4677792,-0.083082308,0.232047546,-0.358040021,0.720313364,0.853888191
ENSMUSG00000001380,1524.561,0.18675101,0.104488295,1.787291193,0.073890437,0.246045686
ENSMUSG00000001383,1263.241632,-0.472578928,0.207286157,-2.279838345,0.022617278,0.126246294
ENSMUSG00000001403,1699.885064,0.340380384,0.139877628,2.433415474,0.014957127,0.099676443
ENSMUSG00000001415,1961.358451,-0.093769225,0.075221155,-1.246580498,0.212551356,0.442189403
ENSMUSG00000001416,6723.301245,-0.176568754,0.136913858,-1.289633908,0.197177797,0.424523797
ENSMUSG00000001417,14.44307091,-0.293794112,0.648294804,-0.453179803,0.650419274,0.812875768
ENSMUSG00000001418,2055.523373,-0.316158929,0.170654829,-1.852622221,0.063936525,0.224612441
ENSMUSG00000001419,2989.399335,0.092807936,0.120711247,0.768842493,0.441986819,0.664326951
ENSMUSG00000001420,47.92716025,-0.682564493,0.743002778,-0.918656717,0.358275156,0.591971928
ENSMUSG00000001424,5941.461935,-0.590794508,0.540005254,-1.094053259,0.27393162,0.508802496
ENSMUSG00000001435,5546.933618,-0.070735743,0.239365442,-0.295513596,0.767601568,0.881075645
ENSMUSG00000001436,558.5624965,0.294156803,0.169535948,1.735070385,0.082728339,0.26216657
ENSMUSG00000001440,12810.60343,0.236557259,0.125632631,1.882928473,0.059710062,0.216371807
ENSMUSG00000001441,2522.854335,-0.305287546,0.183051119,-1.66777208,0.09536098,0.283468508
